model,seed,boundary,fraction,evaluation_set,n,accuracy,margin_mean,margin_std,positive_margin_rate
minilm_frozen_bt,20260728,safe,0.6,clean_validation,512,0.455078125,-0.07732341765903514,0.18801125795481802,0.28515625
minilm_frozen_bt,20260728,safe,0.6,untouched_clean_test,512,0.490234375,-0.07626670677914876,0.1949038456865318,0.287109375
minilm_frozen_bt,20260728,safe,0.6,external,372,0.4489247311827957,-0.06552146587653726,0.253353558824799,0.3629032258064516
minilm_frozen_bt,20260728,safe,0.8,target,512,0.486328125,-0.04481015256242587,0.22122977004367864,0.388671875
minilm_frozen_bt,20260728,safe,0.8,clean_validation,512,0.474609375,-0.04123808782048004,0.22255417557149942,0.37109375
minilm_frozen_bt,20260728,safe,0.8,untouched_clean_test,512,0.498046875,-0.04304103712488428,0.2331758273450926,0.376953125
minilm_frozen_bt,20260728,safe,0.8,external,372,0.48655913978494625,-0.03176280529112504,0.30868597148311283,0.4489247311827957
minilm_frozen_bt,20260728,safe,1.0,target,512,0.484375,-0.009840348402272017,0.24377393467963465,0.4609375
minilm_frozen_bt,20260728,safe,1.0,clean_validation,512,0.494140625,-0.008791223808443067,0.2462400366290474,0.453125
minilm_frozen_bt,20260728,safe,1.0,untouched_clean_test,512,0.4921875,-0.011754515187407333,0.258729714882941,0.46875
minilm_frozen_bt,20260728,safe,1.0,external,372,0.4731182795698925,0.004305192282227916,0.34869325199929,0.5161290322580645
minilm_frozen_bt,20260729,naive,0.2,target,512,0.49609375,-0.0472384283730798,0.09463342808615814,0.2734375
minilm_frozen_bt,20260729,naive,0.2,clean_validation,512,0.453125,-0.054333183578273256,0.09081891272796005,0.220703125
minilm_frozen_bt,20260729,naive,0.2,untouched_clean_test,512,0.48828125,-0.04838796101917467,0.09916287255982852,0.25390625
minilm_frozen_bt,20260729,naive,0.2,external,372,0.4596774193548387,-0.045318330992000194,0.132058286963345,0.33602150537634407
minilm_frozen_bt,20260729,naive,0.4,target,512,0.517578125,-0.03346597661586948,0.15216559993429546,0.373046875
minilm_frozen_bt,20260729,naive,0.4,clean_validation,512,0.453125,-0.04053818305216818,0.1498746495640068,0.353515625
minilm_frozen_bt,20260729,naive,0.4,untouched_clean_test,512,0.49609375,-0.03584441285151277,0.15765147548328504,0.37109375
minilm_frozen_bt,20260729,naive,0.4,external,372,0.47043010752688175,-0.030698536293637776,0.20657294611570523,0.40053763440860213
minilm_frozen_bt,20260729,naive,0.6,target,512,0.501953125,0.005519856787531174,0.18741675829232446,0.501953125
minilm_frozen_bt,20260729,naive,0.6,clean_validation,512,0.458984375,0.0038507720550910885,0.1938678956985185,0.49609375
minilm_frozen_bt,20260729,naive,0.6,untouched_clean_test,512,0.490234375,0.004347347822599012,0.20217077651901122,0.501953125
minilm_frozen_bt,20260729,naive,0.6,external,372,0.478494623655914,0.01355198004223527,0.26054272980987164,0.5053763440860215
minilm_frozen_bt,20260729,naive,0.8,target,512,0.50390625,0.0013820626483408791,0.22203144870878044,0.48046875
minilm_frozen_bt,20260729,naive,0.8,clean_validation,512,0.46484375,0.009910226125306048,0.22772422006355802,0.494140625
minilm_frozen_bt,20260729,naive,0.8,untouched_clean_test,512,0.4921875,0.0057376075196146886,0.2397312150470879,0.50390625
